3.16	0.25	6	Bvcv	Evcc	BvcvEvcc	3	3	1	2	7.375	1.125	3.41	0	0	-18.4	0	0	0.25	3.625	0.25	3.75	0.2	3.625	0	0.75	0										
3.32	0.56	4	Cccv	Dvvc	CccvDvvc	3	3	1	2	9.80	8.19	3.88	0	0	-45	0	0	0.25	8.40	0.25	6.90	0	0.25	0												
3.39	0.69	7	Avvv	Gggg	Avvv	3	4	2	1	0.79	1.09	4.07	1	1	0	0	0	0	0	0.25	10.29	0.25	10.29	0.25												
3.53	0.66	2	Eccc	Gggg	E6ccc	3	4	2	1	2.875	2.81	4.19	1	1	0	0	0	0	0	0.25	9.94	0.25	9.94	0												
3.58	0.14	6	Accc	Cccc	A2cccCccc	3	3	2	2	3.69	5.80	3.72	1	0	225	1	0	0	0	0.25	2.11	0.25	1.95	0												
3.65	0.28	8	Fccv	Gggg	Fccv	3	3	2	2	4.73	8.94	3.93	0	1	-7.1	0	0	0.25	2	0.25	4	0	2	0												
3.66	0.07	5	Fcvc	Gggg	Fcvc	3	3	2	2	4.95	5.93	3.73	0	0	-153.5	0	0	0	0.5	0.25	1	0.25	0.5	0												
3.68	0.33	5	Fcvc	Gggg	Fcvc	3	4	2	1	5.25	0.25	4.02	0	0	185.7	0	0	0	2.5	0.25	5	0.25	2.5	0												
3.80	0.26	3	Avvv	Gggg	Avvv	3	4	2	1	6.94	0.79	4.05	0	0	0	0	0	0.25	3.85	0.25	3.55	0	0.69	0												
3.93	0.08	1	Accv	Gggg	Accv	3	4	2	1	8.875	0.125	4.01	0	0	0	0	0	0	0.125	0.125	0.875	0.25	1.25	0.25	0.25	0										
3.99	1.04	8	Dvcv	Fvvc	DvcvFvvc	3	4	2	2	9.88	5.43	5.03	0	0	0	0	0	0.25	15.73	0.25	14.86	0.125	14.86	0	1.92	0										
4.09	0.31	1	Cccc	Gggg	C13ccc	4	4	1	1	1.37	6	4.40	0	0	-4.57	0	0	0.25	3.33	0.25	4.60	0	3.08	0												
4.12	0.28	4	Bvcc	Ccvc	BvccCcvc	4	4	1	1	1.833	6.05	4.40	1	0	0	0	0	0	0	0.25	4.21	0.25	4.07	0.125	3.36	0	2.99	0	2.56	0.125	2.46	0.25	0.45	0		
4.22	0.33	5	Bvcc	Ccvc	BvccCcvc	4	4	1	1	3.36	8.26	4.55	0	0	-11.31	2	0	0.25	2.83	0.25	5.01	0	1.33	0												
4.25	0.76	3	Cvcv	Gggg	Cvcv	4	4	1	2	3.76	5.14	5.01	0	0	-135	1	0	0.25	11.377	0.25	11.13	0	0.89	0	0.89	0.125										
4.31	0.58	7	Cccv	Dvvc	CccvDvvc	4	4	1	2	4.60	3.33	4.89	0	0	-6.34	1	0	0.125	0.25	0.25	6.38	0.25	8.70	0	0.375	0										
4.37	0.37	6	Dcvv	Evcv	DcvvEvcv	4	4	1	2	5.61	1.13	4.74	0	0	0	0	0	0.125	0.38	0.25	1.76	0.25	5.49	0	0.63	0										
4.39	0.04	2	Fcvv	Gggg	Fcvv	4	4	1	1	5.87	6.41	4.43	0	0	-45	0	0	0.25	0.25	0.25	0.5	0	0.25	0												
4.39	0.49	2	Fcvv	Gggg	Fcvv	4	4	1	2	5.87	3.27	4.88	0	0	176.2	0	0	0.25	3.79	0.25	7.36	0	3.79	0												
4.48	0.04	4	Cvcc	Gggg	Cvcc	4	4	1	1	7.25	7.87	4.52	1	0	0	0	0	0.05	0	0.25	0.64	0.25	0.38	0.125												
4.49	0.12	1	Avvv	Bvvv	ABvvv	4	4	1	1	7.37	9.21	4.61	0	0	7.59	0	0	0	1.37	0.2	1.71	0.125	1.82	0												
4.52	0.25	4	Cccc	Fccc	C1cccFccc	4	4	1	2	7.82	1.56	4.77	0	0	0	0	0	0	0.25	0.125	0.25	0.25	3.76	0.25	3.76	0.125	3.08	0								
